AuthenticProd_id,Brand,Product_Name,Gender,Color,Size,Absorb,other,Count,Pack,Count_pack,EAN,Image,Max_price,Min_price,Product_Name_full,Slug,UPC,MasterProduct_id,AuthenticProd_id,Family_ID,Amazon,Amazon Canada,Amazon Prime Pantry,Bed Bath And Beyond,Bjs,Boxed,CVS,Costco,Costco Canada,Dollar General,HEB,Instacart,Kroger,Rakuten,Sam's Club,Target,Walgreens,Walmart,Walmart Canada
159935,depend,fit-flex underwear,women,BEIGE,M,MAXIMUM,56 ct,56,1,56 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/07/13245507.jpg,51.59,35.98,Depend Fit-Flex Underwear for Women Maximum Beige M 56 ct,depend-fit-flex-underwear-for-women-maximum-beige-m-56-ct,,13245507,159935,17633,39.99,51.59,39.99,,,,,,,,,,,,,39.99,39.99,,
146,depend,fit-flex underwear,men,GREY,L,MAXIMUM,17 ct,17,1,17 ct,36000479263,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/72/13252472.jpg,16.36,0.00,Depend Fit-Flex Underwear for Men Grey L 17 ct,depend-fit-flex-underwear-for-men-grey-l-17-ct,036000479263,13252472,146,17633,11.97,19.99,,,,,14.99,,,12.25,,,,,,11.99,14.49,,
157152,depend,fit-flex underwear,women,BEIGE,S,MAXIMUM,19 ct,19,1,19 ct,3600047915,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/74/13252474.jpg,19.99,11.69,Depend Fit-Flex Underwear for Women Maximum Beige S 19 ct,depend-fit-flex-underwear-for-women-maximum-beige-s-19-ct,036000479157,13252474,157152,17633,11.99,13.98,,,,,14.99,,,,,,,,,11.99,14.49,11.97,
157151,depend,fit-flex underwear,women,BEIGE,L,MAXIMUM,84 ct,84,1,84 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/47/13252847.jpg,54.99,42.98,Depend Fit-Flex Underwear for Women Maximum Beige L 84 ct,depend-fit-flex-underwear-for-women-maximum-beige-l-84-ct,36000484571,13252847,157151,17633,,,,,42.99,49.99,,42.99,54.99,,,,,,42.98,,,,
157150,depend,fit-flex underwear,women,BEIGE,XL,MAXIMUM,80 ct,80,1,80 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/52/13252852.jpg,54.99,42.98,Depend Fit-Flex Underwear for Women Maximum Beige XL 80 ct,depend-fit-flex-underwear-for-women-maximum-beige-xl-80-ct,,13252852,157150,17633,,,,,,49.99,,42.99,54.99,,,,,,42.98,,,,
159878,depend,fit-flex underwear,men,GREY,XL,MAXIMUM,80 ct,80,1,80 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/61/13252861.jpeg,42.99,42.99,Depend Fit-Flex Underwear for Men Grey XL 80 ct,depend-fit-flex-max-absorbency-underwear-for-men-x-large,,13252861,159878,17633,,,,,,,,42.99,54.99,,,,,,42.98,,,,
145,depend,shields,men,,One size fits all,MODERATE,174 ct,174,1,174 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/64/13252864.jpg,32.99,32.99,Depend Shields for Men 174 ct,depend-shields-for-men-light-absorbency-174-count-x-large,,13252864,145,2910,,,,,,,,32.99,,,,,,,,,,,
159878,depend,fit-flex underwear,men,GREY,XL,MAXIMUM,38 ct,38,1,38 ct,0003600048460,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/13/13269613.jpg,33.53,0.00,Depend Fit-Flex Underwear for Men Grey XL 38 ct,depend-fit-flex-underwear-for-men-grey-xl-38-ct,036000484601,13269613,159878,17633,,33.53,25.99,,,,,,,,,,,,,,,24.87,
159878,depend,fit-flex underwear,men,GREY,XL,MAXIMUM,26 ct,26,1,26 ct,36000479331,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/45/13269745.jpg,29.99,0.00,Depend Fit-Flex Underwear for Men Grey XL 26 ct,depend-fit-flex-underwear-for-men-grey-xl-26-ct,36000479331,13269745,159878,17633,,29.99,,,,,19.79,,,,,,,,,18.99,19.49,,
157152,depend,fit-flex underwear,women,BEIGE,S,MAXIMUM,32 ct,32,1,32 ct,36000479201,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/34/13269834.jpg,29.99,0.00,Depend Fit-Flex Underwear for Women Maximum Beige S 32 ct,depend-fit-flex-underwear-for-women-maximum-beige-s-32-ct,036000479201,13269834,157152,17633,,29.99,,,,,19.79,,,,,,,,,18.99,19.49,18.94,24.24
